Parcel,Mean Value
17Networks_RH_SalVentAttnA_FrMed_4,4.129032258064516
17Networks_RH_SalVentAttnB_IPL_1,4.943396226415095
17Networks_RH_SalVentAttnB_PFClv_1,5.388888888888889
17Networks_RH_SalVentAttnB_PFCl_1,6.0
17Networks_RH_SalVentAttnB_PFCl_2,5.769230769230769
17Networks_RH_SalVentAttnB_PFCl_3,4.865671641791045
17Networks_RH_SalVentAttnB_Ins_1,5.840909090909091
17Networks_RH_SalVentAttnB_Ins_2,4.067415730337078
17Networks_RH_SalVentAttnB_PFCmp_1,6.298245614035087
17Networks_RH_SalVentAttnB_PFCmp_2,4.183908045977011
17Networks_RH_LimbicB_OFC_1,4.918032786885246
17Networks_RH_LimbicB_OFC_2,5.041666666666667
17Networks_RH_LimbicB_OFC_3,5.0
17Networks_RH_LimbicB_OFC_4,5.269230769230769
17Networks_RH_LimbicB_OFC_5,4.883720930232558
17Networks_RH_LimbicB_OFC_6,5.2105263157894735
17Networks_RH_LimbicA_TempPole_1,5.0
17Networks_RH_LimbicA_TempPole_2,5.041666666666667
17Networks_RH_LimbicA_TempPole_3,5.042553191489362
17Networks_RH_LimbicA_TempPole_4,5.0
17Networks_RH_LimbicA_TempPole_5,4.803921568627451
17Networks_RH_LimbicA_TempPole_6,4.696428571428571
17Networks_RH_ContA_IPS_1,5.314285714285714
17Networks_RH_ContA_IPS_2,4.564102564102564
17Networks_RH_ContA_IPS_3,6.0
17Networks_RH_ContA_IPS_4,3.6857142857142855
17Networks_RH_ContA_PFCd_1,4.634615384615385
17Networks_RH_ContA_PFCl_1,6.0
17Networks_RH_ContA_PFCl_2,5.666666666666667
17Networks_RH_ContA_PFCl_3,6.0
17Networks_RH_ContA_PFCl_4,3.169230769230769
17Networks_RH_ContA_PFCl_5,5.583333333333333
17Networks_RH_ContA_Cingm_1,5.6571428571428575
17Networks_RH_ContB_Temp_1,6.296875
17Networks_RH_ContB_Temp_2,5.844444444444444
17Networks_RH_ContB_IPL_1,6.666666666666667
17Networks_RH_ContB_IPL_2,6.4523809523809526
17Networks_RH_ContB_IPL_3,6.0
17Networks_RH_ContB_IPL_4,5.882352941176471
17Networks_RH_ContB_PFCld_1,6.0
17Networks_RH_ContB_PFCld_2,6.0
17Networks_RH_ContB_PFCld_3,6.0
17Networks_RH_ContB_PFCld_4,6.14
17Networks_RH_ContB_PFClv_1,6.555555555555555
17Networks_RH_ContB_PFClv_2,5.725
17Networks_RH_ContB_PFClv_3,6.06
17Networks_RH_ContB_PFClv_4,6.044943820224719
17Networks_RH_ContB_PFCmp_1,6.048780487804878
17Networks_RH_ContC_pCun_1,4.476190476190476
17Networks_RH_ContC_pCun_2,4.571428571428571
17Networks_RH_ContC_pCun_3,6.386363636363637
17Networks_RH_ContC_pCun_4,5.702702702702703
17Networks_RH_ContC_pCun_5,3.75
17Networks_RH_ContC_Cingp_1,6.7727272727272725
17Networks_RH_ContC_Cingp_2,6.019230769230769
17Networks_RH_DefaultA_Temp_1,7.0
17Networks_RH_DefaultA_IPL_1,7.0
17Networks_RH_DefaultA_IPL_2,6.884615384615385
17Networks_RH_DefaultA_PFCd_1,6.797101449275362
17Networks_RH_DefaultA_PFCd_2,6.6521739130434785
17Networks_RH_DefaultA_pCunPCC_1,7.0
17Networks_RH_DefaultA_pCunPCC_2,7.0
17Networks_RH_DefaultA_pCunPCC_3,6.821428571428571
17Networks_RH_DefaultA_pCunPCC_4,5.733333333333333
17Networks_RH_DefaultA_pCunPCC_5,7.0
17Networks_RH_DefaultA_PFCm_1,6.358695652173913
17Networks_RH_DefaultA_PFCm_2,6.612903225806452
17Networks_RH_DefaultA_PFCm_3,7.0
17Networks_RH_DefaultA_PFCm_4,7.0
17Networks_RH_DefaultA_PFCm_5,7.0
17Networks_RH_DefaultA_PFCm_6,5.972972972972973
17Networks_RH_DefaultB_Temp_1,7.0
17Networks_RH_DefaultB_Temp_2,6.962962962962963
17Networks_RH_DefaultB_AntTemp_1,6.576923076923077
17Networks_RH_DefaultB_PFCd_1,7.0
17Networks_RH_DefaultB_PFCd_2,7.0
17Networks_RH_DefaultB_PFCd_3,6.903225806451613
17Networks_RH_DefaultB_PFCd_4,7.0
17Networks_RH_DefaultB_PFCd_5,6.26530612244898
17Networks_RH_DefaultB_PFCv_1,6.446428571428571
17Networks_RH_DefaultB_PFCv_2,6.2631578947368425
17Networks_RH_DefaultB_PFCv_3,6.1
17Networks_RH_DefaultC_IPL_1,5.0476190476190474
17Networks_RH_DefaultC_IPL_2,4.7368421052631575
17Networks_RH_DefaultC_Rsp_1,1.4615384615384615
17Networks_RH_DefaultC_Rsp_2,5.55
17Networks_RH_DefaultC_PHC_1,5.489795918367347
17Networks_RH_DefaultC_PHC_2,1.7118644067796611
17Networks_RH_TempPar_1,5.777777777777778
17Networks_RH_TempPar_2,6.366197183098592
17Networks_RH_TempPar_3,6.642857142857143
17Networks_RH_TempPar_4,2.087719298245614
17Networks_RH_TempPar_5,5.051724137931035
17Networks_RH_TempPar_6,5.076923076923077
17Networks_RH_TempPar_7,3.4444444444444446
17Networks_RH_TempPar_8,2.4210526315789473
17Networks_RH_TempPar_9,6.846153846153846
17Networks_RH_TempPar_10,4.205882352941177
